1,1
57110,12971
51223,11731
66266,15642
62180,22547
37681,15044
59185,18617
40920,11944
32327,13841
3800,2014
103892,22168
31103,10327
11772,6416
7005,4109
18986,7420
47596,16145
23768,9338
49310,15493
64458,23344
38967,16514
3951,1561
67179,17023
45903,10727
47452,17903
42147,21228
67869,24956
45151,21929
28714,14964
38617,13883
39316,11156
45786,12765
48852,12924
57964,25592
28418,12814
36865,18646
62276,15869
28917,11928
28514,11436
12520,3317
27425,9513
62430,19892
44789,16075
89779,25144
39480,15224
48581,28534
48606,16168
21397,11821
35482,16657
7827,3371
44998,15658
3223,892
40952,9596
26872,6892
32821,9155
55758,13260
25403,10968
45527,14476
55277,23985
2424,1510
22286,12326
20483,13364
15,0
539,4
9377,3615
0,0
3217,31
0,0
5464,2949
3,2
101279,24104
21741,8669
8434,3706
11555,5567
49328,12741
53704,11630
31869,7520
31766,12883
15149,6605
25876,7632
42399,13617
43497,12687
16654,7085
47487,15830
9947,3427
26669,8880
93193,31087
19506,9550
75066,18419
34924,10429
69745,14669
1612,0
18116,7174
35135,14038
27372,6554
22986,9212
25209,9479
41804,15618
35293,16910
40071,16009
94396,23278
6368,2612
28341,14261
21576,12654
12132,6575
36568,11895
29415,10684
26176,7290
28210,6634
14853,5933
6722,4188
12250,5301
24525,13970
21360,10089
27186,14376
43180,14610
18010,5717
44383,17183
32102,11580
36678,14244
0,0
31974,11027
25777,7980
20063,6788
39407,11932
40331,10527
32396,8633
35153,10304
15554,5072
47993,15785
67619,21452
49012,14821
62549,19027
105549,27130
62928,16564
14866,4393
16591,4553
49399,15604
4090,1629
76615,23650
25457,8717
31499,10794
27925,9447
20388,6105
14184,3515
21318,8520
21751,7789
54099,13882
59662,22044
21115,8611
23729,12830
53815,13999
57251,15210
25990,8050
0,0
11074,4172
39347,19853
32031,17318
40311,14556
93524,26056
42399,12184
31481,12452
38232,14167
36735,9289
58911,16425
19131,9170
39733,14836
117,2
0,0
36126,12663
31715,10652
34095,12033
1391,562
26074,7972
20280,6859
40598,15029
8415,3385
10917,4837
25616,10466
20372,7359
27585,9987
156,114
20460,10869
27480,8492
36751,12922
11254,5213
24229,10723
32940,13028
13361,4415
22781,8150
22830,8879
13220,5044
16032,5639
37810,14089
33065,13261
10506,4097
16245,6106
328,178
30356,10551
25488,9208
25709,9303
26855,8697
50231,16532
45061,13635
24474,8315
36557,13425
26898,11911
34882,11215
27669,9289
32417,11825
33708,11770
2702,2
103689,22465
74363,22855
34188,8176
91725,23543
60254,16802
51747,16872
18496,5192
33348,10991
32362,10036
47807,11985
28722,9522
32605,12772
29458,11686
20438,8374
36045,13563
25851,10409
39499,16697
13811,5158
20158,6636
29855,6925
40328,12871
19786,6369
39285,14380
69817,18194
23484,11358
51145,16256
51558,17042
24628,9177
30991,14876
14372,5552
20849,8235
11371,5001
24939,9180
30778,13180
18904,7555
37180,15970
17473,9277
29034,14292
56343,15357
44958,14903
27927,12859
0,0
59705,15455
76571,17504
74796,22940
80358,21952
35705,11868
34409,10079
18275,6296
26184,8508
29591,8007
61386,14700
43896,9918
25356,8376
25824,9126
85040,18648
54013,16188
30485,6743
45406,13311
33249,11944
32742,11193
27496,8760
476,216
36375,9450
46457,15039
71599,17708
48068,13691
34537,7885
62097,16588
33119,11941
23988,8227
38475,11776
34332,11318
25938,8934
51165,18087
43079,12891
44907,12751
32414,10236
30854,9154
52735,19315
30322,9894
32725,8132
16763,5370
6220,2198
4894,1998
35533,13062
3613,1154
51767,15849
2031,522
54366,18650
5077,2080
1699,623
4176,647
7993,2729
3074,1056
2932,1079
39341,14038
72046,20672
70918,20964
13033,3560
1259,569
74929,20864
50798,15963
38158,9690
2138,816
18910,6469
388,103
7285,1982
